U10,Seed,Group,MssAlong,MssCross,MssTotal,Gamma,PrimaryMss,ShortWaveMss,PreClosureMssTotal,PreClosureGamma
4,8,Elfouhaily-Constrained Modified Lie,0.0168511877471538,0.0110874209640909,0.0279386087112447,0.811147828441886,0.00883890997150948,0.0190996987397352,0.028377701771983,0.806055988715913
4,9,Linear Elfouhaily,0.0168220422776651,0.0108391452162903,0.0276611874939554,0.802709046171788,0.00888242840979844,0.018778759084157,NaN,NaN
4,9,Elfouhaily-Constrained Modified Lie,0.0165370002296449,0.0107710601211872,0.0273080603508321,0.807050774804133,0.00881084508680663,0.0184972152640255,0.0277380883027097,0.801984653621366
4,10,Linear Elfouhaily,0.0167061851086552,0.0111510098724752,0.0278571949811304,0.81699322584379,0.00888174391484606,0.0189754510662843,NaN,NaN
4,10,Elfouhaily-Constrained Modified Lie,0.0164511518255701,0.011078241617705,0.0275293934432751,0.820610862090912,0.00883592034928436,0.0186934730939908,0.0279600977182373,0.815459619813428
4,11,Linear Elfouhaily,0.0167923043304758,0.0114374861669059,0.0282297904973817,0.825296764840006,0.00875550857194189,0.0194742819254398,NaN,NaN
4,11,Elfouhaily-Constrained Modified Lie,0.0165462589564537,0.011369458292223,0.0279157172486766,0.828934047123916,0.00872941595307076,0.0191863012956059,0.0283507313436948,0.823730557496798
4,12,Linear Elfouhaily,0.0167253920486844,0.0109424763129175,0.0276678683616018,0.808853100000142,0.00862716022884143,0.0190407081327604,NaN,NaN
4,12,Elfouhaily-Constrained Modified Lie,0.0164581236374592,0.0108703506085545,0.0273284742460137,0.812702537374799,0.00857255879166796,0.0187559154543457,0.027757658051425,0.807600938233306
4,13,Linear Elfouhaily,0.0167793631724668,0.0113807240251438,0.0281600871976107,0.82356372459147,0.00858034907782475,0.0195797381197859,NaN,NaN
4,13,Elfouhaily-Constrained Modified Lie,0.0165181936021322,0.0113065034153923,0.0278246970175245,0.827337830493515,0.00853505502319252,0.019289641994332,0.0282586234155358,0.822144360839286
4,14,Linear Elfouhaily,0.0169467057453091,0.0111960336103455,0.0281427393556545,0.812810775495866,0.00850808369831618,0.0196346556573384,NaN,NaN
4,14,Elfouhaily-Constrained Modified Lie,0.0166669340076335,0.0111269754950347,0.0277939095026682,0.817072714614107,0.00845228628066668,0.0193416232220016,0.02822948948314,0.811943682443397
4,15,Linear Elfouhaily,0.0168731509500275,0.0112493709498363,0.0281225218998638,0.816518488723803,0.00856092005064047,0.0195616018492233,NaN,NaN
4,15,Elfouhaily-Constrained Modified Lie,0.0165963242649926,0.0111778333754712,0.0277741576404638,0.820678129430498,0.0085040724667322,0.0192700851737316,0.0282086773241388,0.815526464893964
4,16,Linear Elfouhaily,0.0169251018979506,0.0109886512705952,0.0279137531685458,0.805761568553363,0.00876687322196118,0.0191468799465847,NaN,NaN
4,16,Elfouhaily-Constrained Modified Lie,0.0166593027312253,0.010925147877761,0.0275844506089863,0.80981394665151,0.00872495179470727,0.018859498814279,0.028018255149329,0.804730480136992
4,17,Linear Elfouhaily,0.0173687743270522,0.0114830448859599,0.0288518192130121,0.813099969955472,0.00858849919674337,0.0202633200162687,NaN,NaN
4,17,Elfouhaily-Constrained Modified Lie,0.0170854664658013,0.0114110641463547,0.0284965306121561,0.817240071615047,0.00853603520149694,0.0199604954106591,0.0289430861144325,0.812109988889806
4,18,Linear Elfouhaily,0.0166893819545126,0.0109963669675072,0.0276857489220198,0.811716707755116,0.00868018776471387,0.0190055611573059,NaN,NaN
4,18,Elfouhaily-Constrained Modified Lie,0.016431181286999,0.010929977381518,0.027361158668517,0.815596283203794,0.00863912709801858,0.0187220315704984,0.0277902601054024,0.81047651907504
4,19,Linear Elfouhaily,0.0167093226266393,0.0113769837991705,0.0280863064258097,0.825152362722662,0.00878388750841863,0.0193024189173911,NaN,NaN
4,19,Elfouhaily-Constrained Modified Lie,0.0164342306526936,0.0112967861589775,0.0277310168116712,0.829092077064517,0.00871387418615626,0.0190171426255149,0.0281631200902064,0.82388759543187
