group,pairIndex,randomSeed,amplitudeCurl,curlMultiplier,pivotDepth,forwardGain,verticalAngleRatio,propagationDirectionDeg,frontFaceAngleDeg,epsilonFront,epsilonRear,asymmetry,angleInReference,frontSteeper,valid,errorMessage
G0 No-breaking,99,1900628754,0.205159467779102,0,0.949812899295589,1.00172629345739,1.57927476433575,0,7.37465901152465,0.127577358222242,0.0519877754045442,2.45398763900734,0,1,1,
G0 No-breaking,100,1429647207,0.193955913314191,0,0.904743739709152,1.02605315617076,1.61599055532663,180,2.24967423923095,0.0672124144846086,0.0265621678328366,2.53038136448786,0,1,1,
G1 Shallow-curl,1,221800141,0.228300000436599,0.648936582550752,0.886881361026677,1.04657270100135,0.267777901561887,0,2.34733736350636,0.0896290279919173,0.042762218976643,2.09598636686448,0,1,1,
G1 Shallow-curl,2,1170758373,0.204347996054256,0.45156361585325,1.07906350595453,1.21122802998865,0.20954816392627,180,1.38420627885009,0.0793819420611872,0.0421478853781743,1.88341458530904,0,1,1,
G1 Shallow-curl,3,50755713,0.203879642625841,0.590855696156176,1.09290121019196,1.11857698836565,0.340316473933984,180,1.94946291711048,0.0447743055293433,0.019424302165806,2.30506636208341,0,1,1,
G1 Shallow-curl,4,551365953,0.176711026714848,0.637751781625024,1.04360459479654,1.2626875447896,0.317771631721256,180,1.95865644215327,0.0996598706366882,0.0311129068720555,3.20316809504545,0,1,1,
G1 Shallow-curl,5,1209907700,0.211236162816068,0.607697069372608,1.02062567046297,1.07766681768452,0.226287686252257,0,1.32358918728568,0.0718441471042024,0.0256727132300475,2.79846335135764,0,1,1,
G1 Shallow-curl,6,434808538,0.204668575725843,0.479616055312743,0.88389248426874,1.03680873333383,0.338243949755125,0,5.14827309756601,0.0484847174483427,0.0205326742777371,2.36134449865174,0,1,1,
G1 Shallow-curl,7,398873430,0.209027843424318,0.525436295279761,1.06319823982074,1.24818597729363,0.221982606312333,180,7.51823952399842,0.0789591601207782,0.0364388037350551,2.16689770319813,0,1,1,
G1 Shallow-curl,8,425524439,0.18942321046148,0.548387463127382,0.833969293589328,1.20153475171583,0.255134375489351,0,7.87647803861743,0.098485204139846,0.0407514267570252,2.41673020989058,0,1,1,
