U10,K,LinearSpectrum,ModifiedSpectrum,LinearMssIntegrand,ModifiedMssIntegrand,DressingRatio
10,0.0741607793752188,4.19822680615909,4.1895769915489,0.0230894967805939,0.023041924346846,0.998072494629167
10,0.0826744319129921,4.14229962815789,4.14994433360748,0.0283128735057711,0.0283651255391372,1.00194049889734
10,0.0921654511956213,3.30526760123344,3.29974886723722,0.0280764977832305,0.0280296190606867,0.997987146501749
10,0.102746038860384,2.93930011971374,2.93613687958023,0.0310294521342454,0.0309960586037061,0.998844429742407
10,0.114541277285051,2.24783056830788,2.25457098701136,0.0294908721526176,0.0295793044522054,1.00316666070691
10,0.12769060829604,2.00464030150082,2.00930680494615,0.032685442506278,0.0327615293383912,1.00241117841732
10,0.142349481632162,1.41806514313205,1.42284554879155,0.0287347856576086,0.0288316528097613,1.00357383807441
10,0.1586911926519,1.04640765240017,1.04903386887424,0.0263515736454826,0.0264177093782123,1.00244065271411
10,0.176908931009361,0.89001189072143,0.897521228419899,0.0278544973262508,0.0280895153400825,1.00863015464651
10,0.197218064518089,0.643978244661999,0.651004928047953,0.0250475112690266,0.0253208138731944,1.01098207482577
10,0.219858685202291,0.458709475754343,0.462190682831374,0.0221730259146995,0.0223412999504746,1.00765108220216
10,0.245098447634581,0.347720814776639,0.35232577376148,0.0208887190999935,0.0211653539478761,1.0131156615175
10,0.273235733114698,0.243091483916433,0.246352578998977,0.0181486670865386,0.0183921331596282,1.01323890648123
10,0.304603177095736,0.178387269467488,0.182152350346264,0.0165513230584182,0.016900658917147,1.02068155948417
10,0.339571601558673,0.127959050961486,0.130645522461026,0.0147548139034312,0.0150645879032752,1.02112960039356
10,0.378554398823231,0.0922497412647511,0.0936064607879619,0.0132197046044622,0.0134141271695779,1.01461874381372
10,0.422012418619927,0.0680084212928287,0.0687836241929381,0.0121119245257016,0.0122499838842302,1.01139481122667
10,0.470459416197679,0.0494178985750331,0.0495599874037607,0.0109377654056037,0.0109692142190942,1.00289847623851
